net,length_um
net339,307.905µm
_15191_,307.73µm
net559,307.475µm
net398,307.18µm
_16873_,307.08µm
net164,306.75µm
net675,306.27µm
net403,306.2µm
_13436_,305.96µm
_12572_,305.57µm
_12462_,305.56µm
net554,305.455µm
_11671_,304.17µm
_12125_,303.78µm
_13865_,303.47µm
_14940_,303.42µm
_11358_,302.88µm
net975,301.78µm
_18878_,300.6µm
net623,300.17µm
_14827_,299.35µm
_10650_,298.85µm
net507,298.57µm
_00213_,298.38µm
net325,298.38µm
_17245_,298.28µm
_15192_,298.12µm
_14773_,297.97µm
_13955_,297.81µm
_02949_,297.44µm
_14527_,297.25µm
net669,296.84µm
_03730_,296.41µm
_13508_,295.98µm
net985,295.73µm
_13061_,295.71µm
_02651_,295.58µm
_11868_,295.48µm
_12638_,295.31µm
_18877_,295.275µm
_04003_,295.02µm
_15897_,294.8µm
_03336_,294.74µm
_18489_,294.6µm
_05187_,294.58µm
net705,294.56µm
_00007_,294.525µm
net484,294.38µm
_12765_,293.955µm
net762,293.57µm
_07671_,293.46µm
net703,293.17µm
_12299_,293.14µm
net827,293.1µm
_12941_,292.88µm
_17068_,292.78µm
_11273_,292.7µm
_16432_,292.5µm
_18648_,292.42µm
_07589_,292.36µm
_01104_,291.735µm
net327,291.72µm
_08864_,291.51µm
net693,291.22µm
net943,291.14µm
net275,291.08µm
_00431_,290.72µm
net852,290.52µm
net333,290.38µm
net1021,290.34µm
net730,289.97µm
net90,289.82µm
_02511_,289.66µm
_08305_,289.37µm
_17721_,289.14µm
_20404_,289.14µm
_13549_,288.22µm
net241,288.22µm
net366,287.995µm
_15608_,287.94µm
_11600_,287.82µm
_00462_,287.3µm
net763,287.105µm
_00878_,286.86µm
_01686_,286.7µm
net517,286.41µm
_01819_,286.31µm
net340,286.19µm
net427,285.85µm
_16024_,285.655µm
_00257_,285.38µm
net781,284.3µm
_13564_,284.1µm
net716,283.53µm
net666,283.26µm
net847,282.54µm
net779,282.42µm
_12507_,282.13µm
_16577_,281.94µm
_09492_,281.8µm
_12974_,281.615µm
_11734_,281.48µm
net300,281.28µm
net918,281.28µm
_19060_,281.18µm
_00463_,280.955µm
net177,280.54µm
net997,280.4µm
_12875_,280.27µm
_02884_,279.78µm
_12716_,279.34µm
_01405_,279.3µm
_19122_,279.22µm
net407,279.17µm
_12587_,279.075µm
_07084_,278.81µm
_11357_,278.8µm
_08140_,278.68µm
net1026,278.615µm
net215,278.36µm
_16370_,278.22µm
_12456_,277.98µm
clknet_1_1__leaf_clk,277.92µm
_03116_,277.34µm
_07176_,277.18µm
_19380_,277.12µm
_16548_,276.6µm
net228,276.1µm
net288,275.76µm
_12886_,275.3µm
_13106_,274.9µm
_18079_,274.76µm
_00315_,274.67µm
_05216_,274.58µm
net622,274.02µm
_07046_,273.55µm
_09945_,273.355µm
_01750_,273.35µm
net204,272.8µm
_13715_,272.68µm
net621,272.4µm
net361,272.235µm
net905,272.16µm
_09879_,272.06µm
net578,272.005µm
net194,271.72µm
net816,270.91µm
net155,270.9µm
_00734_,270.42µm
net306,269.925µm
_14483_,269.39µm
net900,269.32µm
_11231_,269.3µm
net739,268.95µm
_14277_,268.78µm
net320,268.76µm
_20185_,268.48µm
net455,268.4µm
net647,268.34µm
_12838_,268.3µm
_17765_,268.27µm
net709,268.02µm
_19529_,267.17µm
_04818_,266.9µm
net443,266.8µm
net52,266.76µm
net230,266.52µm
_13172_,266.43µm
net575,266.16µm
_13117_,265.94µm
_00224_,265.93µm
_14954_,265.88µm
net81,265.88µm
_17069_,265.82µm
_00862_,265.77µm
net335,265.51µm
_08829_,265.09µm
_15945_,264.98µm
_19465_,264.86µm
net888,264.86µm
net397,264.52µm
_13202_,264.21µm
_18080_,264.18µm
_16305_,263.99µm
_17955_,263.875µm
_02480_,263.72µm
net178,263.7µm
net891,263.63µm
_00009_,263.505µm
_13868_,262.97µm
net298,262.96µm
