net,length_um
_25306_,232.06µm
net847,232.02µm
highshift.data\[107\],231.9µm
_10004_,231.83µm
_06518_,231.82µm
net297,231.72µm
_16511_,231.6µm
net625,231.34µm
_28609_,231.16µm
_04698_,231.135µm
_03331_,231µm
_08767_,230.79µm
_06739_,230.73µm
_11399_,230.37µm
_04437_,230.32µm
highshift.data\[164\],230.19µm
_32257_,230.1µm
net413,229.92µm
_02895_,229.75µm
_15771_,229.7µm
_11963_,229.55µm
highshift.data\[55\],229.24µm
net524,229.215µm
_11210_,229.14µm
_05659_,229.05µm
_08745_,228.82µm
net301,228.8µm
_24807_,228.64µm
net472,228.64µm
_07026_,228.52µm
_04700_,228.51µm
_05343_,228.34µm
net64,228.15µm
highshift.data\[15\],228.13µm
_03502_,228.015µm
net522,227.95µm
_05985_,227.6µm
_13673_,227.51µm
net431,227.28µm
net785,227.22µm
_08799_,226.8µm
net677,226.145µm
lowshift.data\[94\],226.08µm
_02160_,225.915µm
_11933_,225.91µm
net720,225.48µm
_03081_,225.35µm
net784,225.32µm
_11908_,225.28µm
net405,225.16µm
