net,length_um
_03053_,141.82µm
net27,141.575µm
_09975_,141.24µm
net161,141.14µm
_04653_,141.08µm
output_high[14],141.01µm
_03319_,140.64µm
_09964_,140.44µm
_07945_,139.96µm
input_data[28],139.94µm
net352,139.66µm
_04750_,139.26µm
net511,139.1µm
net363,139.055µm
_03422_,138.84µm
net324,138.745µm
_03391_,138.395µm
_06058_,137.96µm
net300,137.915µm
_02677_,137.265µm
input_data[25],137.24µm
_10681_,137.07µm
_00564_,136.63µm
net317,136.63µm
_04434_,136.62µm
_06268_,136.42µm
net464,135.84µm
net569,135.825µm
net435,135.78µm
_07850_,135.72µm
input_data[27],135.4µm
net123,135.02µm
_03192_,134.865µm
_10562_,134.86µm
input_data[24],134.4µm
net479,134.4µm
_03170_,134.28µm
_03382_,133.98µm
_02542_,133.515µm
input_data[29],133.26µm
net365,133.18µm
_02568_,133.04µm
_10761_,132.84µm
net481,132.84µm
_03106_,132.6µm
_10406_,132.52µm
net486,132.215µm
net373,132.005µm
_06164_,131.72µm
_03395_,131.16µm
net104,131.08µm
_02594_,131.03µm
input_data[26],130.8µm
_00699_,130.7µm
_02611_,130.68µm
net438,130.62µm
net323,130.52µm
_01414_,129.595µm
input_data[32],129.57µm
_10215_,129.295µm
_08495_,129.24µm
net194,129.16µm
net213,129.12µm
clknet_1_1__leaf_clk,128.92µm
net368,128.34µm
_06238_,128.26µm
_04257_,128.2µm
_03406_,128.13µm
_01577_,127.86µm
_00999_,127.8µm
_04472_,127.62µm
_05921_,127.3µm
net461,127.26µm
net214,126.8µm
_02315_,126.72µm
_06702_,126.5µm
_01064_,126.475µm
_03129_,126.1µm
_03960_,126.08µm
_00635_,126.04µm
_09634_,125.92µm
_04908_,125.82µm
_04308_,125.06µm
_00584_,124.74µm
_05171_,124.585µm
net19,124.46µm
net376,124.31µm
_03252_,124.28µm
_01369_,124.24µm
_07216_,123.86µm
net101,123.855µm
_03961_,123.715µm
_01202_,123.615µm
_01447_,123.54µm
_06260_,123.49µm
_07220_,123.4µm
input_data[30],122.84µm
net553,122.84µm
output_high[1],122.27µm
_05787_,122.12µm
_01897_,122.08µm
_03407_,121.74µm
net546,121.74µm
_02802_,121.35µm
_01149_,121.28µm
_04010_,120.88µm
_11181_,120.62µm
net558,120.58µm
_06014_,120.38µm
_01813_,120.305µm
_00895_,120.04µm
_06321_,120.015µm
_01223_,119.93µm
net483,119.77µm
_07602_,119.74µm
_07731_,119.54µm
net375,119.4µm
_03105_,118.98µm
_06067_,118.88µm
_00683_,118.69µm
_06491_,118.63µm
net550,118.515µm
input_data[31],118.44µm
_04382_,118.39µm
_05765_,118.2µm
net410,118.12µm
_01375_,117.64µm
_08128_,117.6µm
_08161_,117.49µm
_06213_,117.42µm
net420,117.27µm
_09086_,116.98µm
net476,116.82µm
_06230_,116.42µm
_04354_,115.94µm
_10030_,115.64µm
_07696_,115.36µm
net343,115.35µm
input_data[34],114.88µm
_03318_,114.84µm
_03015_,114.06µm
_02607_,114.03µm
_06256_,113.84µm
_01707_,113.78µm
input_data[33],113.64µm
_03885_,113.1µm
net527,112.99µm
_04755_,112.87µm
_08462_,112.74µm
net215,112.62µm
_10745_,112.445µm
input_data[35],112.18µm
net340,112.12µm
_03367_,112.09µm
input_data[141],112.04µm
net339,111.865µm
net542,111.83µm
_03850_,111.8µm
_05274_,111.74µm
net286,111.54µm
_02599_,111.14µm
_04278_,111.1µm
net20,110.46µm
_06128_,110.4µm
_05346_,110.1µm
input_data[36],110.04µm
_04241_,109.96µm
net191,109.74µm
_01199_,109.7µm
net285,109.58µm
_05360_,109.5µm
net318,109.46µm
_05737_,109.21µm
_02584_,109.12µm
net568,109.05µm
_00917_,108.79µm
input_data[37],108.7µm
net532,108.62µm
_03534_,108.48µm
_05865_,108.46µm
_01928_,108.42µm
_03393_,108.4µm
_00834_,108.34µm
net471,108.08µm
_09108_,108µm
input_data[147],107.9µm
net433,107.86µm
_06276_,107.84µm
_04543_,107.82µm
_06373_,107.31µm
_04274_,107.3µm
_01640_,107.22µm
_02581_,107.07µm
_05612_,106.92µm
_00671_,106.82µm
net555,106.74µm
input_data[164],106.72µm
_03576_,106.7µm
input_data[93],106.6µm
input_data[50],106.58µm
net401,106.56µm
_01423_,106.54µm
net254,106.49µm
input_data[48],106.18µm
input_data[52],105.94µm
_00194_,105.92µm
_00539_,105.92µm
tap[0],105.84µm
input_data[55],105.82µm
net422,105.44µm
input_data[163],105.34µm
input_data[80],105.34µm
_06382_,105.28µm
input_data[46],105.22µm
input_data[138],105.1µm
input_data[182],105.02µm
_08502_,104.92µm
_04296_,104.9µm
_09839_,104.9µm
_01178_,104.88µm
input_data[143],104.88µm
input_data[53],104.88µm
input_data[183],104.56µm
_03743_,104.52µm
input_data[161],104.52µm
_02805_,104.495µm
input_data[142],104.42µm
input_data[166],104.42µm
input_data[187],104.42µm
input_data[54],104.42µm
input_data[94],104.42µm
_07516_,104.38µm
net395,104.3µm
_08975_,104.26µm
_02483_,104.22µm
input_data[75],104.22µm
_02794_,104.2µm
input_data[206],104.18µm
input_data[204],104.1µm
_04986_,104.08µm
input_data[156],103.96µm
input_data[95],103.96µm
_06500_,103.675µm
input_data[137],103.6µm
input_data[180],103.5µm
input_data[84],103.5µm
input_data[90],103.5µm
_08820_,103.465µm
_04054_,103.425µm
_10514_,103.42µm
input_data[148],103.42µm
net357,103.32µm
input_data[62],103.3µm
_09311_,103.16µm
input_data[111],103.14µm
input_data[122],103.14µm
input_data[88],103.14µm
input_data[135],103.04µm
input_data[140],103.04µm
input_data[179],103.04µm
input_data[38],103.04µm
input_data[81],103.04µm
input_data[85],103.04µm
input_data[86],103.04µm
input_data[89],103.04µm
_03415_,102.96µm
tap[3],102.82µm
_01879_,102.8µm
net482,102.62µm
input_data[112],102.58µm
input_data[114],102.58µm
input_data[157],102.58µm
input_data[195],102.58µm
input_data[39],102.58µm
input_data[41],102.58µm
input_data[45],102.58µm
input_data[82],102.58µm
input_data[165],102.5µm
input_data[78],102.5µm
net290,102.46µm
net388,102.4µm
input_data[51],102.38µm
_05330_,102.16µm
input_data[146],102.12µm
input_data[66],102.12µm
_02850_,102.1µm
input_data[128],102.04µm
input_data[167],102.04µm
input_data[170],102.04µm
input_data[181],102.04µm
input_data[185],102.04µm
input_data[110],101.92µm
input_data[154],101.92µm
input_data[174],101.92µm
_03091_,101.78µm
input_data[136],101.66µm
input_data[139],101.66µm
input_data[155],101.66µm
input_data[171],101.66µm
input_data[173],101.66µm
input_data[184],101.66µm
input_data[188],101.66µm
input_data[203],101.66µm
input_data[47],101.66µm
input_data[60],101.66µm
input_data[92],101.66µm
_08886_,101.64µm
input_data[196],101.58µm
input_data[197],101.58µm
input_data[198],101.58µm
input_data[200],101.58µm
input_data[74],101.58µm
input_data[102],101.46µm
input_data[103],101.46µm
input_data[104],101.46µm
input_data[152],101.46µm
input_data[153],101.46µm
input_data[205],101.46µm
