net,length_um
_051_,2.84µm
_059_,2.84µm
_101_,2.84µm
_132_,2.84µm
_140_,2.84µm
_148_,2.84µm
_170_,2.84µm
_184_,2.84µm
_193_,2.84µm
_200_,2.84µm
_225_,2.84µm
_191_,2.77µm
_207_,2.74µm
_234_,2.72µm
_023_,2.69µm
_039_,2.69µm
_045_,2.69µm
_047_,2.69µm
_050_,2.69µm
_055_,2.69µm
_088_,2.69µm
_099_,2.69µm
_122_,2.69µm
_125_,2.67µm
_138_,2.67µm
_141_,2.67µm
_056_,2.62µm
_010_,2.5µm
_032_,2.5µm
_086_,2.5µm
_145_,2.5µm
_043_,2.43µm
_001_,2.38µm
_005_,2.38µm
_006_,2.38µm
_015_,2.38µm
_017_,2.38µm
_027_,2.38µm
_031_,2.38µm
_042_,2.38µm
_046_,2.38µm
_060_,2.38µm
_069_,2.38µm
_114_,2.38µm
_115_,2.38µm
_121_,2.38µm
_124_,2.38µm
_131_,2.38µm
_147_,2.38µm
_156_,2.38µm
_174_,2.38µm
_226_,2.38µm
_064_,2.28µm
_123_,2.28µm
_161_,2.28µm
_215_,2.28µm
_028_,2.23µm
_036_,2.23µm
_040_,2.23µm
_049_,2.23µm
_163_,2.23µm
_002_,2.21µm
_018_,2.21µm
_021_,2.21µm
_041_,2.21µm
_082_,2.21µm
_235_,2.21µm
_044_,2.16µm
_053_,2.16µm
_105_,2.16µm
_154_,2.16µm
_033_,2.04µm
_094_,2.04µm
_130_,2.04µm
_038_,1.82µm
_052_,1.82µm
_061_,1.82µm
_063_,1.82µm
_077_,1.82µm
_081_,1.82µm
_085_,1.82µm
_095_,1.82µm
_110_,1.82µm
_113_,1.82µm
_118_,1.82µm
_119_,1.82µm
_126_,1.82µm
_134_,1.82µm
_142_,1.82µm
_157_,1.82µm
_167_,1.82µm
_176_,1.82µm
_180_,1.82µm
_192_,1.82µm
_210_,1.82µm
_213_,1.82µm
_217_,1.82µm
_087_,1.75µm
_166_,1.75µm
_173_,1.7µm
_182_,1.7µm
_000_,1.36µm
_004_,1.36µm
_009_,1.36µm
_019_,1.36µm
_024_,1.36µm
_037_,1.36µm
_048_,1.36µm
_054_,1.36µm
_071_,1.36µm
_079_,1.36µm
_093_,1.36µm
_109_,1.36µm
_128_,1.36µm
_129_,1.36µm
_135_,1.36µm
_150_,1.36µm
_151_,1.36µm
_158_,1.36µm
_159_,1.36µm
_165_,1.36µm
_168_,1.36µm
_181_,1.36µm
_183_,1.36µm
_190_,1.36µm
_199_,1.36µm
_203_,1.36µm
_206_,1.36µm
_216_,1.36µm
_223_,1.36µm
_236_,1.36µm
_239_,1.36µm
